method,auroc,interpretation
loss,0.7042,moderate — possible contamination
zlib,0.4715,no signal
mink_0.1,0.5808,weak signal
mink_0.2,0.6471,weak signal
mink_0.3,0.6891,moderate — possible contamination
mink_0.4,0.7026,moderate — possible contamination
mink_0.5,0.7241,moderate — possible contamination
mink_0.6,0.7168,moderate — possible contamination
mink_0.7,0.707,moderate — possible contamination
mink_0.8,0.6984,moderate — possible contamination
mink_0.9,0.6931,moderate — possible contamination
mink_1.0,0.7043,moderate — possible contamination
minkpp_0.1,0.5609,weak signal
minkpp_0.2,0.5944,weak signal
minkpp_0.3,0.6377,weak signal
minkpp_0.4,0.6321,weak signal
minkpp_0.5,0.6514,moderate — possible contamination
minkpp_0.6,0.6592,moderate — possible contamination
minkpp_0.7,0.6596,moderate — possible contamination
minkpp_0.8,0.6683,moderate — possible contamination
minkpp_0.9,0.6731,moderate — possible contamination
minkpp_1.0,0.6793,moderate — possible contamination
