subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
electrical_engineering,"By using which of the following elements, mechanical translational systems are obtained?",mass element,spring element,dash-pot,all of the above,3,D,ok,,,,-3.8348865509033203,-0.04734427840621383,-11.3125,-11.1875,-8.7421875,-8.100000381469727,-7.080357074737549,-6.3994140625,-5.799479007720947,-4.860262870788574,-4.466796875,-3.8377859592437744,-2.578125,-2.3125,-1.482421875,-1.2140624523162842,-0.8597237467765808,-0.73114013671875,-0.6227756142616272,-0.4287553131580353,-0.3370361328125,-0.1552385538816452
college_computer_science,A starvation-free job-scheduling policy guarantees that no job waits indefinitely for service. Which of the following job-scheduling policies is starvation-free?,Round-robin,Priority queuing,Shortest job first,Youngest job first,0,A,ok,,,https://cgi.csc.liv.ac.uk/~trp/Teaching_Resources/COMP204/204-Lecture12.pdf,-2.616109848022461,-0.023151414584269565,-11.3125,-7.962500095367432,-6.576171875,-5.932812690734863,-4.986177921295166,-4.271484375,-3.8610026836395264,-3.353003978729248,-2.9406635761260986,-2.6142115592956543,-2.24609375,-1.421875,-1.026123046875,-0.833203136920929,-0.6240046620368958,-0.4827423095703125,-0.3885226845741272,-0.2552664577960968,-0.1444193571805954,-0.04460539668798447
philosophy,Philo says the analogy that Cleanthes uses to make his case is _____.,too complicated,weak,strong,not based on a legitimate method of reasoning,1,B,ok,,,https://global.oup.com/us/companion.websites/9780190207038/stu_res/ch2/lev1/mcq/,-3.9655802249908447,-0.05747217717378036,-11.5,-9.270833015441895,-8.578125,-7.463541507720947,-6.886160850524902,-5.915798664093018,-5.514843940734863,-4.801432132720947,-4.512619972229004,-3.965625047683716,-2.1875,-1.4921875,-1.2958984375,-1.0755208730697632,-0.9654017686843872,-0.699462890625,-0.5832275152206421,-0.4004109799861908,-0.32033127546310425,-0.15418294072151184
electrical_engineering,"The moving coil-meters, damping is provided by",the aluminium frame of the coil.,the coil spring attached to the moving.,eddy current disk.,damping vane in the airtight chamber.,0,A,ok,,,,-5.474987506866455,-0.1094997501373291,-10.25,-10.25,-10.25,-9.916666984558105,-8.921875,-8.262499809265137,-7.455729007720947,-6.796875,-6.138671875,-5.47352409362793,-2.46875,-2.46875,-2.390625,-2.2864582538604736,-1.9580078125,-1.564355492591858,-1.241455078125,-1.00634765625,-0.83001708984375,-0.6171332597732544
high_school_mathematics,The quadratic $2x^2+5x+12=19-7x$ has two solutions. What is the positive difference between these solutions?,2,\sqrt{2},5\sqrt{2},5,2,C,ok,,,,-1.9927889108657837,-0.019347465154036736,-6.489583492279053,-5.520833492279053,-4.755208492279053,-4.088541507720947,-3.46337890625,-3.114309310913086,-2.793856620788574,-2.520703077316284,-2.2688686847686768,-1.9920997619628906,-2.7760417461395264,-1.953125,-1.5329861640930176,-1.1373494863510132,-0.7999725341796875,-0.6305895447731018,-0.48440828919410706,-0.3634667992591858,-0.26202392578125,-0.14809417724609375
college_medicine,The blood glucose concentration during 80-90 minutes of intermittent high intensity exercise:,frequently rises by 1 - 3 mM.,remains relatively unchanged.,frequently falls by 1 - 3 mM.,falls to hypoglycaemic levels.,0,A,ok,,,https://global.oup.com/uk/orc/biosciences/biochem/gleeson2e/01student/mcqs/ch06/,-3.742079973220825,-0.04351255782814913,-8.8125,-7.979166507720947,-7.099999904632568,-6.8125,-6.2578125,-5.5625,-5.28125,-4.711538314819336,-4.211718559265137,-3.741067409515381,-1.734375,-1.6276041269302368,-1.4070312976837158,-1.3111978769302368,-1.1083984375,-0.8756103515625,-0.7851784229278564,-0.6026329398155212,-0.4535318911075592,-0.32365867495536804
elementary_mathematics,The schedule for a music showcase includes 3 sets that are 20 minutes each and 1 set that is 40 minutes. There is a 10-minute break between each set. The total length of the music showcase is 3(20 + 10) + 40 minutes. What is the total length of the music showcase?,73 minutes,110 minutes,130 minutes,210 minutes,2,C,ok,2,,,-1.4246000051498413,-0.009434437120197625,-6.6875,-4.808035850524902,-3.832217216491699,-3.1298491954803467,-2.6784939765930176,-2.323946237564087,-2.0049402713775635,-1.7825886011123657,-1.597017765045166,-1.4235894680023193,-1.5329240560531616,-0.9357561469078064,-0.6225469708442688,-0.41309434175491333,-0.2827487587928772,-0.17930708825588226,-0.08435297757387161,-0.015881769359111786,0.047607421875,0.13266199827194214
formal_logic,"Identify the conclusion of the following argument. Remember to remove any conclusion indicators. It is wrong for society to kill a murderer. This follows for the reason that if a murderer is wrong in killing his victim, then society is also wrong in killing the murderer. And a murderer is wrong in killing his victim.",It is wrong for society to kill a murderer.,"This follows for the reason that if a murderer is wrong in killing his victim, then society is also wrong in killing the murderer.","If a murderer is wrong in killing his victim, then society is also wrong in killing the murderer.",And a murderer is wrong in killing his victim.,0,A,ok,,,Expert,-2.3817801475524902,-0.0142621565721706,-7.885416507720947,-6.729166507720947,-5.728298664093018,-4.943033695220947,-4.321875095367432,-3.84765625,-3.3968563079833984,-3.009918212890625,-2.686631917953491,-2.382326126098633,-2.0208332538604736,-1.4108072519302368,-1.0360175371170044,-0.7443287968635559,-0.5419148802757263,-0.3995124101638794,-0.283566415309906,-0.18057505786418915,-0.0889689102768898,0.01928110606968403
high_school_microeconomics,Which of the following is a characteristic of monopolistic competition?,Economically efficient in the long run.,Pricing at minimum ATC in long run.,Excess capacity.,Very few competitors.,2,C,ok,,,https://www.crackap.com/ap/microeconomics/question-163-answer-and-explanation.html,-1.755625605583191,-0.025818023611517513,-11.0,-6.90625,-5.161458492279053,-4.2265625,-3.6078124046325684,-3.1490886211395264,-2.7283761501312256,-2.4046630859375,-2.1400554180145264,-1.7530711889266968,-1.4609375,-0.685302734375,-0.41455078125,-0.2762451171875,-0.17353515326976776,-0.0873209610581398,-0.02071707509458065,0.04681396484375,0.1292860209941864,0.34157493710517883
professional_law,"A defendant was prosecuted for murder. At trial, the prosecutor called a police detective to testify. The detective, who questioned the defendant at the station house after his arrest, testified that the defendant initially declared his innocence. The detective further testified that when given the opportunity to take a lie detector test, the defendant refused. The defendant's attorney did not object to the detective's testimony. The defendant was convicted and sentenced to prison. The defendant, who is now represented by a new attorney, appeals, claiming that it was error to admit the detective's testimony. The appellate court should find","plain error, because the trial court should have acted on its own motion to order reference to the lie detector test stricken.","plain error, because admission of the detective's testimony violated the defendant's privilege against self-incrimination.","harmless error, because the defendant's trial attorney failed to preserve the argument by timely objection.","harmless error, because the defendant's statements were admissions.",0,A,ok,,,,-1.8916252851486206,-0.006062901554963527,-6.482954502105713,-5.25,-4.492647171020508,-3.8201427459716797,-3.362938642501831,-2.9412930011749268,-2.6237549781799316,-2.3321797847747803,-2.1046249866485596,-1.8917149305343628,-1.8394886255264282,-1.0816916227340698,-0.698089599609375,-0.45558100938796997,-0.3030374050140381,-0.18129652738571167,-0.09001083672046661,-0.0032872739247977734,0.07230651378631592,0.15358620882034302
