subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
professional_law,"A company incorporated and headquartered in State A sued a plumber domiciled in State B in a federal court in State A, alleging that the plumber had negligently installed pipes in a manner that resulted in $250,000 in damage to the company's headquarters building. In response to the complaint, the plumber filed a motion to dismiss for lack of personal jurisdiction. The court denied the motion. Thereafter, the plumber did not file an answer or any other response to the company's action. Sixty days after the court's order denying the motion to dismiss, the company asked the clerk to enter default, and the clerk did so. The company applied to the court for the entry of a default judgment and notified the plumber three days before the default judgment hearing. After an ex parte hearing in which the court received evidence on the damages amount, the court entered a default judgment for the full amount sought. Ten days later, the plumber filed a motion to set aside the default judgment. Is the court likely to grant the plumber's motion?","No, because the court could fix the amount of damages even without hearing the plumber's evidence.","No, because the plumber failed to plead or otherwise defend against the company's action.","Yes, because the plumber was not given adequate notice of the hearing on the company's application for the entry of a default judgment.","Yes, because the State A federal court lacked personal jurisdiction over the plumber as a State B citizen.",2,C,test,-1.4843882322311401,-0.003125027857328716,-6.646874904632568,-5.115472793579102,-4.042086601257324,-3.3423380851745605,-2.830378532409668,-2.418562412261963,-2.100492238998413,-1.8503637313842773,-1.6489322185516357,-1.4839167594909668,-2.366406202316284,-1.524009108543396,-1.0329915285110474,-0.7502390146255493,-0.56210857629776,-0.42072901129722595,-0.3115723431110382,-0.22216102480888367,-0.14281350374221802,-0.052731163799762726
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I offered the babysitter extra money to stay late with me alone. Scenario 2 | I tossed the ball to my friend.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,-2.624145746231079,-0.01325326134460141,-8.0625,-6.663461685180664,-5.842187404632568,-5.237847328186035,-4.661075592041016,-4.201952934265137,-3.7069480419158936,-3.286024332046509,-2.924696683883667,-2.624422788619995,-2.6549479961395264,-1.889423131942749,-1.448388695716858,-1.0787765979766846,-0.8336976170539856,-0.6743167638778687,-0.519656240940094,-0.38252341747283936,-0.25710833072662354,-0.13551263511180878
nutrition,"Infants and children with a suspected food allergy e.g. cow's milk allergy/intolerance could display the following symptoms and signs:
",severe atopic dermatitis,enterocolitis,diarrhoea,all of the above,3,D,test,-2.838589906692505,-0.02512026466099562,-11.9375,-8.737500190734863,-7.3348212242126465,-6.026562690734863,-5.09254789352417,-4.615624904632568,-3.989366292953491,-3.643749952316284,-3.2032735347747803,-2.840059757232666,-4.546875,-2.825000047683716,-1.9796316623687744,-1.317773461341858,-0.94140625,-0.7626302242279053,-0.5498046875,-0.42607420682907104,-0.27640965580940247,-0.12522536516189575
conceptual_physics,"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,1,B,test,-3.02034854888916,-0.032829875531403915,-9.0625,-8.25,-7.333333492279053,-6.568359375,-5.480823993682861,-4.806490421295166,-4.275000095367432,-3.837545871734619,-3.48088002204895,-3.0236093997955322,-1.94921875,-1.82421875,-1.53125,-1.2010498046875,-0.8276145458221436,-0.6374887228012085,-0.4856933653354645,-0.355712890625,-0.2500128448009491,-0.12181507796049118
nutrition,"Which of the following statements about methods of evaluating protein quality in human nutrition is correct?
","The rat protein efficiency ratio assay, (PER), is a good method of assessing protein quality for human nutrition.","The rat net protein-utilisation assay, (NPU), is the best method of assessing protein quality for human nutrition.",Animal growth assays underestimate the quality of dietary proteins for human nutrition,The growing rat is a good model for assessing protein quality in human nutrition.,2,C,test,-2.224243402481079,-0.02366216385618169,-9.125,-6.864583492279053,-5.265625,-4.8046875,-4.046875,-3.5250000953674316,-3.315340995788574,-2.890474796295166,-2.5179035663604736,-2.2244012355804443,-1.40625,-1.0559896230697632,-0.6167236566543579,-0.48919677734375,-0.3001251220703125,-0.17486572265625,-0.11386940628290176,-0.007408728823065758,0.08628743141889572,0.20779956877231598
miscellaneous,Which of these performers made her film debut in Spike Lee's 'Dothe Right Thing'?,Jennifer Lopez,Rosie Perez,Paula Abdul,Tisha Campbell,1,B,test,-3.2220458984375,-0.04027557373046875,-12.0,-9.416666984558105,-7.699999809265137,-7.026041507720947,-6.01171875,-5.128125190734863,-4.784090995788574,-4.16015625,-3.647005319595337,-3.224637985229492,-13.0,-6.265625,-4.370312690734863,-3.7197265625,-2.7559814453125,-2.161914110183716,-1.9325283765792847,-1.573016881942749,-1.2843749523162842,-0.9852941036224365
college_chemistry,Which of the following is required for both paramagnetism and ferromagnetism?,Strong oxidizing conditions,Low-spin electron configuration,Metallic physical properties,Unpaired electrons,3,D,test,-1.74191415309906,-0.02453400215632479,-9.5,-6.947916507720947,-5.73046875,-4.319010257720947,-3.45703125,-3.0934245586395264,-2.535189628601074,-2.3245723247528076,-1.992490530014038,-1.743429183959961,-2.28125,-1.3971353769302368,-1.11181640625,-0.74444580078125,-0.55291748046875,-0.4858940839767456,-0.3797496557235718,-0.3357340395450592,-0.2231794148683548,-0.050994873046875
security_studies,What preventative security measures might a government take in defence of a potential future terrorist attack?,Prevention is normally associated with the concept of terrorism as war or crime. All governments will practice prevention (seen as repression from the terrorist perspective) by seeking to arrest or eliminate those actively involved in the violence. Security forces attack the terrorists before they strike (war) or they are arrested after the attack (crime).,"Large terrorist organizations are hard to penetrate, being highly cohesive and centralized in structure. In both the warfare and criminal model, intelligence is obtained by two methods; firstly to elicit information from captured terrorists or secondly from an informer within the group. An intelligence coup greatly enhances the prospect of stopping terrorist operations once the larger group has been compromised.","Prevention of terrorism is a highly controversial policy designed to reduce the appeal of terrorism within the population through reform packages. The method is characterized by diplomatic exchanges. However, as a preventative method it has been questioned and it is argued to resemble concessionary politics.","Prevention is conceived as securing the physical integrity of targets and key political installations, particularly weapons installations, national buildings, national or cultural symbols, or defence deployments. Protecting possible targets of the state enhances the wellbeing of more vulnerable targets. Terrorists may move to more convenient territory to target their objectives which make it more difficult to control.",0,A,test,-4.303143501281738,-0.04677329892697542,-12.125,-11.020833015441895,-10.015625,-8.427083015441895,-7.33984375,-6.869791507720947,-6.049715995788574,-5.613606929779053,-4.8935546875,-4.30487060546875,-9.8125,-5.177083492279053,-4.51953125,-3.3515625,-2.4779052734375,-2.1761066913604736,-1.7195490598678589,-1.540771484375,-1.2330496311187744,-0.99664306640625
miscellaneous,"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,0,A,test,-2.0120465755462646,-0.026130475007094346,-7.4375,-5.578125,-4.3671875,-3.965625047683716,-3.3035714626312256,-3.044921875,-2.823784828186035,-2.482954502105713,-2.3447265625,-2.01361083984375,-0.19140625,-0.154052734375,-0.0057373046875,0.03369140625,0.1172572523355484,0.16070556640625,0.1992730051279068,0.28271484375,0.3255615234375,0.4104701578617096
professional_medicine,A 42-year-old woman with a history of multiple sclerosis comes to the office because she had a sudden loss of vision in the right eye. She has no history of diplopia. External ocular movements are normal but funduscopic examination shows pallor of the optic disk. This patient's condition is most likely a result of demyelination of which of the following?,Medial longitudinal fasciculus,Oculomotor nerve,Optic nerve,Trigeminal nerve,2,C,test,-1.5538628101348877,-0.006668939099291364,-6.044642925262451,-4.676041603088379,-3.9549005031585693,-3.3263020515441895,-2.8396382331848145,-2.511458396911621,-2.204341173171997,-1.9656250476837158,-1.736518383026123,-1.5537270307540894,-2.0669643878936768,-1.2238932847976685,-0.8500116467475891,-0.6080993413925171,-0.45200228691101074,-0.3420206606388092,-0.22446772456169128,-0.12796732783317566,-0.028296077623963356,0.08354347944259644
