method,auroc,interpretation
loss,0.2156,no signal
zlib,0.0294,no signal
mink_0.1,0.4018,no signal
mink_0.2,0.3529,no signal
mink_0.3,0.3142,no signal
mink_0.4,0.2704,no signal
mink_0.5,0.2447,no signal
mink_0.6,0.2174,no signal
mink_0.7,0.2089,no signal
mink_0.8,0.2081,no signal
mink_0.9,0.2067,no signal
mink_1.0,0.2156,no signal
minkpp_0.1,0.5822,weak signal
minkpp_0.2,0.5288,no signal
minkpp_0.3,0.5045,no signal
minkpp_0.4,0.4778,no signal
minkpp_0.5,0.4877,no signal
minkpp_0.6,0.4842,no signal
minkpp_0.7,0.4917,no signal
minkpp_0.8,0.5118,no signal
minkpp_0.9,0.5177,no signal
minkpp_1.0,0.5608,weak signal
