question,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
 Как взаимосвязь между стохастической изменчивостью пополнения грунтовых вод и нелинейной динамикой ненасыщенного потока влияет на формирующиеся законы масштабирования спектра речного стока в влажных и засушливых водосборных бассейнах?,-2.5492305755615234,-0.010621794064839681,-11.237500190734863,-9.596590995788574,-7.649816036224365,-6.119565010070801,-5.074622631072998,-4.270842552185059,-3.6672422885894775,-3.201219320297241,-2.839404344558716,-2.5506513118743896,-2.421875,-1.8210227489471436,-1.3440048694610596,-0.982344925403595,-0.7653282284736633,-0.6119750738143921,-0.48564183712005615,-0.3776426911354065,-0.2860994040966034,-0.18076647818088531
 Как взаимодействие эпигенетического наследования с колеблющимися селективными давлениями влияет на скорость и направление адаптивной фенотипической диверсификации в быстро меняющихся микросредах обитания на протяжении нескольких поколений?,-2.11928129196167,-0.008830338716506958,-8.800000190734863,-7.234375,-5.7919921875,-4.892857074737549,-4.059606552124023,-3.50946044921875,-3.0714738368988037,-2.6582541465759277,-2.382162094116211,-2.1174774169921875,-3.6312499046325684,-2.417187452316284,-1.6971092224121094,-1.286182165145874,-0.9823337197303772,-0.7998523712158203,-0.6497456431388855,-0.5091198086738586,-0.41238531470298767,-0.2935757040977478
" Каковы механистические последствия включения явной поляризуемости растворителя и квантово-выведенных путей переноса заряда в гибридные QM/MM-моделирования молекулярной динамики для прогнозирования частоты каталитического оборота металлоферментов, подвергающихся крупномасштабной конформационной модификации?",-2.1694438457489014,-0.007112930641799677,-8.890625,-7.375,-6.135000228881836,-5.11600399017334,-4.242838382720947,-3.631289005279541,-3.137594223022461,-2.718550443649292,-2.4290904998779297,-2.1688308715820312,-2.64453125,-1.6536865234375,-1.1231225728988647,-0.845151960849762,-0.6509806513786316,-0.5286206007003784,-0.4314785599708557,-0.3260607421398163,-0.23745280504226685,-0.1293291300535202
"Учитывая нелинейные обратные связи между выбросами углерода из арктической вечной мерзлоты, скоростью окисления метана и радиационным воздействием атмосферы, как можно откалибровать интегрированные модели земной системы для прогнозирования пороговой температуры, при которой оттаивание вечной мерзлоты ускоряет глобальное потепление более чем на 2 °C?",-1.8746418952941895,-0.005768128908597506,-7.784722328186035,-6.421875,-5.326388835906982,-4.434244632720947,-3.7236111164093018,-3.1416738033294678,-2.705143928527832,-2.368828773498535,-2.1058175563812256,-1.8744090795516968,-2.4817707538604736,-1.703125,-1.2156846523284912,-0.9088829755783081,-0.7200263142585754,-0.5843064785003662,-0.4682665765285492,-0.36454010009765625,-0.2729891538619995,-0.15400511026382446
" Как взаимодействие эпигенетического наследования с колеблющимися селективными давлениями влияет на скорость закрепления адаптивных признаков в популяциях, размножающихся половым путем и периодически испытывающих экстремальные условия окружающей среды?",-2.172384262084961,-0.008452857050914244,-9.25,-7.637499809265137,-6.0760416984558105,-5.021484375,-4.259375095367432,-3.636914014816284,-3.1494977474212646,-2.7653961181640625,-2.458648681640625,-2.169395923614502,-3.0062499046325684,-2.0972657203674316,-1.4885417222976685,-1.10797119140625,-0.8741406202316284,-0.703417956829071,-0.5593191981315613,-0.443603515625,-0.34535589814186096,-0.22089460492134094
" Каковы механизмы, посредством которых гетерогенная химия поверхности аэрозолей модулирует гетерогенные скорости образования зародышей льда в условиях смешанной облачности, и как эти механизмы влияют на радиационное воздействие на атмосферу?",-2.183138847351074,-0.008984110482926232,-7.895833492279053,-6.830729007720947,-5.793402671813965,-4.866861820220947,-4.157031059265137,-3.572699546813965,-3.1112117767333984,-2.727677583694458,-2.425034761428833,-2.1825311183929443,-1.5755208730697632,-1.0660806894302368,-0.7939181923866272,-0.5980555415153503,-0.4707539975643158,-0.3790096640586853,-0.296847403049469,-0.20558293163776398,-0.11481504142284393,-0.009258016012609005
" Каким образом эпигенетические модификации, вставки транспозабельных элементов и трехмерная архитектура хроматина совместно эволюционируют для модуляции генных регуляторных сетей во время быстрых адаптивных радиаций в полиплоидных линиях позвоночных?",-2.668118476867676,-0.010463209713206571,-10.604166984558105,-8.755208015441895,-7.362847328186035,-6.194010257720947,-5.134072780609131,-4.416173934936523,-3.832667112350464,-3.3742377758026123,-3.007408618927002,-2.6678624153137207,-4.5703125,-3.0904948711395264,-2.3181424140930176,-1.80133056640625,-1.3865966796875,-1.1484276056289673,-0.9641311764717102,-0.8036636114120483,-0.6659911870956421,-0.5105945467948914
Как можно интегрировать мультиомиксные данные о временных возмущениях со стохастическими дифференциальными уравнениями для вывода причинно-следственной динамики регуляторных сетей и прогнозирования возникающих фенотипических бифуркаций при различных стрессовых факторах окружающей среды?,-2.053800582885742,-0.007387771880883964,-8.147321701049805,-6.870535850524902,-6.018601417541504,-5.068917274475098,-4.142968654632568,-3.466895580291748,-2.973832130432129,-2.6027979850769043,-2.313598155975342,-2.0529110431671143,-2.693080425262451,-1.9949777126312256,-1.488897442817688,-1.1154359579086304,-0.8864964246749878,-0.7294812798500061,-0.61284339427948,-0.5120680928230286,-0.4228365421295166,-0.3174245059490204
 Каким образом взаимодействие между разнообразием функциональных признаков растений и модульностью микробной сети почвы влияет на устойчивость экосистемы к одновременной засухе и выпадению азота в умеренных луговых экосистемах?,-2.418867826461792,-0.010655805402915382,-8.925000190734863,-8.006250381469727,-6.6854166984558105,-5.59375,-4.647836685180664,-4.01486873626709,-3.486436605453491,-3.068031072616577,-2.7348878383636475,-2.4193239212036133,-1.725000023841858,-1.430078148841858,-1.19140625,-0.9464080929756165,-0.7205740213394165,-0.5934763550758362,-0.4780358076095581,-0.37791332602500916,-0.28461092710494995,-0.14825557172298431
 Каким образом взаимодействие между эпигенетическими паттернами метилирования ДНК и трехмерным петлеобразованием хроматина влияет на аллель-специфическую экспрессию импринтированных генов на ранних стадиях эмбриогенеза у млекопитающих?,-1.578637719154358,-0.006496451519153736,-8.727678298950195,-6.970982074737549,-5.018043041229248,-3.8802316188812256,-3.1429686546325684,-2.627627372741699,-2.2544655799865723,-1.9727963209152222,-1.7535966634750366,-1.5782370567321777,-3.2589285373687744,-2.0560696125030518,-1.3665132522583008,-1.0178614854812622,-0.8036028146743774,-0.6505911946296692,-0.5285121202468872,-0.4217812716960907,-0.3304908275604248,-0.23036585748195648
