method,auroc,interpretation
loss,0.3408,no signal
zlib,0.082,no signal
mink_0.1,0.3418,no signal
mink_0.2,0.3175,no signal
mink_0.3,0.3156,no signal
mink_0.4,0.3292,no signal
mink_0.5,0.3416,no signal
mink_0.6,0.3311,no signal
mink_0.7,0.3318,no signal
mink_0.8,0.3359,no signal
mink_0.9,0.327,no signal
mink_1.0,0.3406,no signal
minkpp_0.1,0.6055,weak signal
minkpp_0.2,0.5648,weak signal
minkpp_0.3,0.5557,weak signal
minkpp_0.4,0.5544,weak signal
minkpp_0.5,0.5512,weak signal
minkpp_0.6,0.5474,no signal
minkpp_0.7,0.5555,weak signal
minkpp_0.8,0.5643,weak signal
minkpp_0.9,0.5617,weak signal
minkpp_1.0,0.5842,weak signal
