question,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
 Жер асты суларының стохастикалық қайта зарядталуының өзгергіштігі мен сызықтық емес қанықпаған ағын динамикасы арасындағы байланыс ылғалды және құрғақ су жиналатын алқаптардағы өзен ағындысының спектрлерінің пайда болатын масштабтау заңдарына қалай әсер етеді?,-1.9737169742584229,-0.007447988582107256,-7.224999904632568,-5.898809432983398,-5.03830623626709,-4.288318634033203,-3.707399845123291,-3.2344369888305664,-2.8077492713928223,-2.4870924949645996,-2.2017083168029785,-1.9733760356903076,-3.12109375,-1.8475632667541504,-1.2735044956207275,-0.9226975440979004,-0.7031503319740295,-0.5529416799545288,-0.41165244579315186,-0.3028666079044342,-0.19773206114768982,-0.08574748784303665
 Эпигенетикалық мұрагерлік бірнеше ұрпақ бойы тез өзгеретін микротіршілік ету орталарында бейімделгіш фенотиптік диверсификация жылдамдығы мен бағытын қалыптастыру үшін ауытқып тұратын селективті қысыммен қалай өзара әрекеттеседі?,-1.7845463752746582,-0.007081533235216897,-6.931250095367432,-5.62109375,-4.735416889190674,-4.016406059265137,-3.426406145095825,-2.9393229484558105,-2.5381696224212646,-2.227346897125244,-1.981241226196289,-1.7831170558929443,-2.339062452316284,-1.5143554210662842,-1.0652506351470947,-0.787841796875,-0.6091015338897705,-0.47195637226104736,-0.36075612902641296,-0.2633422911167145,-0.16993272304534912,-0.06520507484674454
 Ірі көлемді конформациялық қақпалаудан өтетін металлоферменттердің каталитикалық айналым жиіліктерін болжау үшін гибридті QM/MM молекулалық динамикасын модельдеуге айқын еріткіш поляризациясын және кванттық заряд тасымалдау жолдарын енгізудің механистік салдары қандай?,-2.1801116466522217,-0.007622767995287489,-8.359375,-7.029687404632568,-5.862399101257324,-4.997713565826416,-4.197791576385498,-3.623425006866455,-3.140150308609009,-2.7296009063720703,-2.437842607498169,-2.1800687313079834,-2.866406202316284,-2.118359327316284,-1.6243069171905518,-1.2410932779312134,-0.964197039604187,-0.7840861678123474,-0.6477059125900269,-0.5224969983100891,-0.4211826026439667,-0.29865968227386475
"Арктиканың мәңгілік мұз қабатындағы көміртектің бөлінуі, метанның тотығу жылдамдығы және атмосфералық радиациялық күш арасындағы сызықтық емес кері байланысты ескере отырып, мәңгілік мұздың еруі жаһандық жылынуды 2°C-тан асатын шекті температураны болжау үшін интеграцияланған Жер жүйесінің модельдерін қалай калибрлеуге болады?",-1.437480092048645,-0.0042782145596685865,-6.307692527770996,-5.099536895751953,-4.228906154632568,-3.4142794609069824,-2.8085362911224365,-2.3946638107299805,-2.0533666610717773,-1.8084185123443604,-1.6010864973068237,-1.4362688064575195,-2.060697078704834,-1.3506220579147339,-0.9413154721260071,-0.6882556080818176,-0.5312791466712952,-0.41666704416275024,-0.3136516511440277,-0.22913077473640442,-0.14595632255077362,-0.05455847457051277
 Эпигенетикалық мұрагерлік периодты қоршаған ортаның экстремалды жағдайларын бастан кешіретін жыныстық жолмен көбеюші популяцияларда бейімделгіш белгілердің бекітілу жылдамдығын қалыптастыру үшін ауытқып тұратын селективті қысыммен қалай өзара әрекеттеседі?,-1.5734537839889526,-0.005639619297451443,-6.599431991577148,-5.1491475105285645,-4.232954502105713,-3.5433237552642822,-2.993039846420288,-2.5783913135528564,-2.236328125,-1.9642417430877686,-1.747636318206787,-1.573084831237793,-2.0071022510528564,-1.3606178760528564,-0.9374704360961914,-0.6867120862007141,-0.522753894329071,-0.4006199836730957,-0.29570186138153076,-0.2027643322944641,-0.11726148426532745,-0.020059481263160706
 Әртүрлі фазалы бұлт жағдайында гетерогенді аэрозоль бетінің химиясы гетерогенді мұздың ядролану жылдамдығын модуляциялайтын қандай механистік жолдар бар және бұл жолдар атмосфералық радиациялық күшке қалай кері байланыс береді?,-2.0270659923553467,-0.008411062208943347,-7.763888835906982,-6.69618034362793,-5.555245399475098,-4.783361434936523,-3.958028554916382,-3.373814105987549,-2.923790454864502,-2.5394368171691895,-2.2679102420806885,-2.0266430377960205,-3.175347328186035,-2.2057292461395264,-1.6334402561187744,-1.2315673828125,-0.9550132155418396,-0.7775508165359497,-0.6339974999427795,-0.5016520023345947,-0.3912164568901062,-0.2668599784374237
" Полиплоидты омыртқалылардың тұқым қуалауындағы жылдам бейімделгіш сәулелену кезінде эпигенетикалық модификациялар, транспозицияланатын элементтерді енгізу және үш өлшемді хроматин архитектурасы гендік реттеуші желілерді модуляциялау үшін қандай жолдармен бірге дамиды?",-2.091132402420044,-0.00711269524632668,-8.678125381469727,-6.930059432983398,-5.887600898742676,-4.883556365966797,-4.07326078414917,-3.4831039905548096,-2.988043785095215,-2.637122631072998,-2.332754135131836,-2.0907492637634277,-3.4000000953674316,-2.152157783508301,-1.586346983909607,-1.1713402271270752,-0.9145737886428833,-0.751522958278656,-0.6070424914360046,-0.4919927716255188,-0.38455232977867126,-0.2704087793827057
Әртүрлі қоршаған орта стрессорлары кезінде себеп-салдарлық реттеуші желі динамикасын анықтау және пайда болатын фенотиптік бифуркацияларды болжау үшін мультиомикалы уақыт бойынша шешілген пертурбация деректерін стохастикалық дифференциалдық теңдеу модельдерімен қалай біріктіруге болады?,-1.8016695976257324,-0.006005565325419108,-8.940340995788574,-7.09375,-5.607481002807617,-4.4005208015441895,-3.5965750217437744,-3.027817487716675,-2.5741724967956543,-2.261701822280884,-2.0159943103790283,-1.8019063472747803,-4.126420497894287,-2.627485752105713,-1.796383023262024,-1.3057129383087158,-1.0330679416656494,-0.8411446213722229,-0.6814459562301636,-0.5567301511764526,-0.4449668228626251,-0.31454169750213623
 Өсімдіктердің функционалдық белгілерінің әртүрлілігі мен топырақтың микробтық желісінің модульділігі арасындағы өзара әрекеттесу экожүйенің қоңыржай жайылымдарда бір мезгілде құрғақшылық пен азоттың жиналуына төзімділігіне қалай әсер етеді?,-1.5853360891342163,-0.006027893875035043,-7.65625,-5.84970235824585,-4.568115234375,-3.714298725128174,-3.0844907760620117,-2.644744873046875,-2.275475263595581,-1.9887056350708008,-1.7639031410217285,-1.584246277809143,-2.7734375,-1.7942708730697632,-1.1944656372070312,-0.878108561038971,-0.6809104681015015,-0.5481052398681641,-0.42806804180145264,-0.3249412477016449,-0.2335658073425293,-0.13371333479881287
 Эпигенетикалық ДНҚ метилдену үлгілері мен үш өлшемді хроматин циклінің өзара әрекеттесуі сүтқоректілерде ерте эмбриогенез кезінде басылған гендердің аллельге тән экспрессиясына қалай әсер етеді?,-1.5857503414154053,-0.0069856843234158824,-7.2578125,-5.544117450714111,-4.488581657409668,-3.7414982318878174,-3.1009719371795654,-2.619910717010498,-2.2896728515625,-1.9983264207839966,-1.7684470415115356,-1.5855042934417725,-2.3544921875,-1.3938418626785278,-0.9131892323493958,-0.6858699917793274,-0.5147222280502319,-0.3779531717300415,-0.2826375365257263,-0.18822534382343292,-0.09844814240932465,-0.0025957480538636446
