id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
12630,https://ymnik.kz/tests_old/literature_kz/?v=63,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),"Қабаққа біткен қайыңныңБеріші еді, безі еді.Өтіндей - ақ аюдыңӘкемнен қалған көз еді. (І. Жансүгіров)Үзіндіде қолданылған бейнелеу құралын көрсетіңіз.",Әсірелеу.,Метафора.,Кейіптеу.,Аллегория.,Синекдоха.,B,test,-2.6544241905212402,-0.014665327019454366,-8.1953125,-6.6953125,-5.85546875,-5.240234375,-4.685213565826416,-4.198182582855225,-3.75349497795105,-3.339242696762085,-2.9797229766845703,-2.65409779548645,-2.728515625,-1.8212890625,-1.361328125,-1.0487442016601562,-0.7969136834144592,-0.6380266547203064,-0.49920547008514404,-0.37289100885391235,-0.25304508209228516,-0.12394751608371735
2008,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),Хроматофоры у спирогиры расположены,Спирально,Линейно,Кругами,Параллельно,,A,test,-3.7551891803741455,-0.05777214123652531,-9.1875,-8.0,-6.916666507720947,-6.2734375,-5.734375,-5.231770992279053,-4.755580425262451,-4.36328125,-4.040798664093018,-3.7523436546325684,-6.09375,-3.8203125,-2.7565104961395264,-2.1376953125,-1.720703125,-1.3561197519302368,-1.0859375,-0.876953125,-0.7092013955116272,-0.57421875
15066,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Пароход проплыл 9 км против течения реки и 30 км по течению реки, затратив на весь путь 1,5 ч. Найдите собственную скорость парохода, если скорость течения реки 6 км/ч.",26 км/ч,22 км/ч,24 км/ч,14 км/ч,,C,test,-1.1912602186203003,-0.007007413050707649,-4.84375,-3.942187547683716,-3.31640625,-2.7989211082458496,-2.334346055984497,-1.99578857421875,-1.7332730293273926,-1.4946445226669312,-1.339276671409607,-1.1904680728912354,-1.3546874523162842,-0.962695300579071,-0.6148109436035156,-0.456877201795578,-0.33655914664268494,-0.25778770446777344,-0.19394497573375702,-0.12941014766693115,-0.06864801794290543,0.014211018569767475
263,https://oltest.kz/tests/buhgalterskiy_uchet_i_audit/,"Social Science





",Accounting and auditing,University,Russian,Accounting and Auditing (Professional & University in rus),"Способ экономической группировки и обобщения информации о состоянии хозяйственных средств по их составу и источникам образования в денежном выражении на определенную дату:
","
систематизация",инвентаризация,"
оценка","
калькуляция",бухгалтерский баланс,E,test,-2.7451846599578857,-0.014680131871432543,-8.125,-6.697916507720947,-5.903124809265137,-5.402644157409668,-4.834558963775635,-4.453125,-4.0178327560424805,-3.445420980453491,-3.109130859375,-2.7444844245910645,-1.2838541269302368,-0.888671875,-0.5605713129043579,-0.4221566915512085,-0.29051297903060913,-0.21002197265625,-0.14543351531028748,-0.070068359375,-0.0032958984375,0.1146240234375
2199,https://ymnik.kz/tests_old/biology/?v=57,STEM,Biology,High School,Russian,Biology (High School in rus),"Круглые черви, паразитирующие в мышцах животных:",Трихинелла,Волосатик,Острица,Аскарида,Ришта,A,test,-2.5444512367248535,-0.0299347204320571,-7.5,-6.125,-5.6796875,-4.942708492279053,-4.6473212242126465,-4.027777671813965,-3.7222657203674316,-3.1752116680145264,-2.936748743057251,-2.545701026916504,-1.5,-1.1536458730697632,-0.883544921875,-0.5693766474723816,-0.4586007297039032,-0.2946234941482544,-0.22844238579273224,-0.11419677734375,-0.06604942679405212,0.02947591058909893
20067,https://ymnik.kz/tests_old/literature/?v=5,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Композиционная часть «В некотором царстве, в некотором государстве жили-были …» в народной сказке называется:",Зачин.,Присказка.,Завязка.,Развязка.,Экспозиция.,A,test,-2.8565471172332764,-0.01997585396666627,-12.1875,-9.050000190734863,-7.72265625,-6.900000095367432,-5.7421875,-4.7498779296875,-4.253580570220947,-3.663109302520752,-3.2106425762176514,-2.8544809818267822,-4.5546875,-2.495312452316284,-1.7159423828125,-1.3609619140625,-1.013427734375,-0.7873382568359375,-0.6605767011642456,-0.5019415020942688,-0.3732808530330658,-0.24051468074321747
21534,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),ХVІІІ ғасырдың І ширегінде Ресей экономикасына тән жағдай,Өндіріс пен капиталдың шоғырлануы өсті,Батыс елдерінен анағұрлым артта қалды,Батыс елдерінен экономикасынан алда болды,Феодалдық сарқыншақтар жойылды,,B,test,-3.0269622802734375,-0.030887370206871812,-10.03125,-8.300000190734863,-7.2276787757873535,-6.175000190734863,-5.497395992279053,-4.694270610809326,-4.279411792755127,-3.7724609375,-3.440762519836426,-3.029726505279541,-2.765625,-2.1500000953674316,-1.8917410373687744,-1.480859398841858,-1.2597860097885132,-0.9776204228401184,-0.8256117701530457,-0.6278442144393921,-0.5086225867271423,-0.32149413228034973
56,https://oltest.kz/tests/buhgalterskiy_uchet_i_audit/,"Social Science





",Accounting and auditing,University,Russian,Accounting and Auditing (Professional & University in rus),"
Касса должна находится:","

в отдельном помещении","

в отделе снабжения","
в финансовом отделе","

в помещении бухгалтерии","
в помещении расчетной группы",A,test,-8.409611701965332,-0.17162472861153738,-10.3125,-10.3125,-10.3125,-9.71875,-9.71875,-9.291666984558105,-9.291666984558105,-9.0,-9.0,-8.412500381469727,-2.0,-2.0,-2.0,-1.75,-1.75,-1.5651041269302368,-1.5651041269302368,-1.419921875,-1.419921875,-1.267187476158142
15838,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Высота правильной треугольной пирамиды 4 см, а ее апофемы 8 см. Вычислите площадь боковой поверхности пирамиды.",\(150\) см2,\(288\) см2,\(124\) см2,\(146\) см2,,B,test,-1.3702094554901123,-0.010149699670297128,-6.1875,-4.924479007720947,-4.199652671813965,-3.25,-2.7548828125,-2.3659539222717285,-1.9642387628555298,-1.739086389541626,-1.5591809749603271,-1.3701893091201782,-3.3111979961395264,-1.8663736581802368,-1.2571479082107544,-0.8596003651618958,-0.6863250732421875,-0.5532355308532715,-0.417108952999115,-0.3300687372684479,-0.2458832859992981,-0.14339932799339294
6245,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Отын өнеркәсібінің дамуына байланысты пайда болған агломерацияның қалалары,"Абай, Саран","Қапшағай, Ақсай","Есік, Талғар","Қаскелең, Шымбұлақ",,A,test,-1.8758491277694702,-0.01645481691025851,-8.458333015441895,-6.25,-5.081597328186035,-4.307291507720947,-3.6864583492279053,-3.165147542953491,-2.7435359954833984,-2.4148967266082764,-2.151674509048462,-1.8752756118774414,-1.2249349355697632,-0.6609395146369934,-0.4301011860370636,-0.2857920229434967,-0.18709716200828552,-0.1039394810795784,-0.0406348817050457,0.01709747314453125,0.09144196659326553,0.18763191998004913
