question,предмет,выбор,отвечать,sheet,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
" Если психолог выступает одновременно свидетелем со стороны истца и экспертом в суде в уголовном процессе, то она совершила следующие действия:", профессиональная_психология," [«неэтично, принимая на себя двойную роль». «этично, если у нее не было предварительных отношений с истцом». «этично, если она уточнит свои роли со всеми сторонами». «этично, если она получит разрешение суда».]",2,Sheet1,-3.150242805480957,-0.018977366298078054,-8.583333015441895,-7.53125,-6.826388835906982,-6.229166507720947,-5.651041507720947,-5.0390625,-4.431919574737549,-3.923095703125,-3.495234727859497,-3.1467366218566895,-4.096354007720947,-2.7708332538604736,-2.073784828186035,-1.5853170156478882,-1.2568390369415283,-1.0185571908950806,-0.8384043574333191,-0.6746845245361328,-0.539245069026947,-0.4013361632823944
 Каким образом точка зрения на терроризм влияет на ответные меры правительства?, исследования безопасности,"['В рамках концепции «рецепта болезни» пакеты реформ становятся частью ответных мер правительства, направленных на снижение привлекательности террористической группы среди населения. Однако реформы могут поощрять террористов к продолжению насильственной деятельности, поскольку они получают за это вознаграждение. В этих условиях реформы могут стать уступками, подпитывающими насилие, а не механизмом его прекращения. Также ясно, что реформы могут не устранить присутствие терроризма.' 'Современные меры реагирования на терроризм принимаются в контексте аналогии с войной против террора, в которой преобладают нормы возмездия и наказания. В этом взгляде подразумевается оправдание превентивных действий, предпринимаемых против учебных центров, штаб-квартир, источников финансирования и даже убийства ключевых лиц.' 'Хотя аналогия с войной предполагает сдерживание, сдерживание более важно для системы правосудия. В обычном уголовном контексте степень превентивных мер, доступных в данном случае, ограничивается задержанием подозреваемых или судебным преследованием.' 'Все эти варианты.' Реакция на террористические атаки различается как в явной, так и в неявной форме, в зависимости от того, рассматривается ли война как война, преступление или болезнь.",3,Sheet1,-3.016144275665283,-0.028188264258554047,-10.625,-8.458333015441895,-7.6953125,-6.5390625,-5.53515625,-5.115451335906982,-4.3359375,-4.005696773529053,-3.4461843967437744,-3.0163841247558594,-1.296875,-0.7649739384651184,-0.61474609375,-0.4029541015625,-0.262237548828125,-0.2022840678691864,-0.09093128889799118,-0.0394083671271801,0.0658307746052742,0.1972503662109375
"Джорджа обвинили в убийстве известного преступника. Жертва была найдена застреленной в своей машине. Единственным свидетелем убийства был домашний попугай жертвы, который кружил над телом и снова и снова повторял: «Джордж, не надо… Джордж, не надо». Чтобы доказать личность убийцы, обвинение представило свидетеля, который заявил, что примерно в то время, когда произошло убийство, он находился в этом районе и слышал, как попугай жертвы звал Джорджа по имени. Главное возражение против этих показаний заключается в том, что они…", профессиональное_право, ['слухи'. 'не имеет отношения к делу'. 'мнение'. 'предвзятое мнение'.],1,Sheet1,-2.1439473628997803,-0.005020954011474895,-9.084135055541992,-7.273148059844971,-5.913871765136719,-4.88607931137085,-4.121659755706787,-3.571098566055298,-3.075505495071411,-2.6885135173797607,-2.3856618404388428,-2.1436383724212646,-2.089543342590332,-1.3425925970077515,-0.8802743554115295,-0.6412630677223206,-0.48773548007011414,-0.3747551143169403,-0.27210935950279236,-0.179718017578125,-0.08791770040988922,0.015119469724595547
Могут ли страны использовать свое внутреннее законодательство в качестве предлога для нарушения своих обязательств в соответствии с международным правом?, международное право, ['Внутреннее право всегда имеет приоритет над международным правом' 'Только обычное международное право имеет приоритет над внутренним правом' 'Обязательства по международному праву имеют приоритет над внутренним правом' 'Конституционные обязательства всегда имеют приоритет над обязательствами по международному праву'],2,Sheet1,-2.107987642288208,-0.012473299658510106,-7.59375,-6.143750190734863,-5.439453125,-4.923437595367432,-4.178786277770996,-3.4969482421875,-3.1355793476104736,-2.7057292461395264,-2.3716583251953125,-2.108140707015991,-1.1953125,-0.874218761920929,-0.6153564453125,-0.4853759706020355,-0.35760968923568726,-0.252960205078125,-0.193603515625,-0.112281434237957,-0.0422566719353199,0.030942562967538834
"30-летняя нерожавшая женщина обратилась в клинику с жалобами на перепады настроения. Она сообщила, что в течение последних нескольких месяцев испытывает тревогу, гиперактивность и бессонницу за 3-4 дня до начала менструации. Также она отметила, что в день начала менструации у нее возникает острая депрессия, анорексия, раздражительность и вялость. Психиатрических заболеваний в анамнезе нет. Результаты физического осмотра в норме. Она и ее муж пытаются зачать ребенка более 2 лет. В анамнезе отмечается проведенная около года назад тубопластика для коррекции закупорки маточной трубы. Наиболее вероятный диагноз:", профессиональная_медицина," ['расстройство адаптации с депрессивным настроением' 'биполярное расстройство I типа, смешанное' 'циклотимическая личность' 'генерализованное тревожное расстройство']",0,Sheet1,-1.9886459112167358,-0.0037380562240916086,-7.572916507720947,-6.308333396911621,-5.222146511077881,-4.405993938446045,-3.750659465789795,-3.2541184425354004,-2.844315767288208,-2.489100933074951,-2.2195587158203125,-1.9889552593231201,-2.272656202316284,-1.466406226158142,-1.0108543634414673,-0.7533243894577026,-0.5773089528083801,-0.4491407871246338,-0.33683791756629944,-0.23669855296611786,-0.15096139907836914,-0.0512673519551754
" Под каким углом к горизонтали следует запускать идеальный снаряд, чтобы его горизонтальное перемещение (дальность полета) было равно его максимальному вертикальному перемещению?", физика в старшей школе, ['sin–1 (1/г)' 'cos–1 (1/г)' '45°' 'tan–1 4'],3,Sheet1,-1.386032223701477,-0.007492066074062038,-6.8671875,-4.681640625,-3.7135417461395264,-3.140625,-2.733203172683716,-2.3515217304229736,-2.0267508029937744,-1.775343894958496,-1.5787320137023926,-1.386203646659851,-1.135986328125,-0.61846923828125,-0.4036661684513092,-0.2890777587890625,-0.21390381455421448,-0.150604248046875,-0.0927821546792984,-0.03479766845703125,0.0317857526242733,0.13318763673305511
 Вирулентность полиовируса наиболее легко повышается за счет какого из следующих процессов?, вирусология, ['Мутация РНК-генома всего в нескольких позициях' 'Рекомбинация с другим энтеровирусом' 'Изменение его белковой оболочки' 'Множественные делеции и замены нуклеотидов'],0,Sheet1,-3.5265254974365234,-0.028905946700299372,-10.0,-9.145833015441895,-7.900000095367432,-6.90625,-6.159722328186035,-5.881249904632568,-5.235677242279053,-4.5260186195373535,-3.971832275390625,-3.5313823223114014,-2.46875,-2.328125,-1.9773437976837158,-1.4274204969406128,-1.1058485507965088,-0.9862304925918579,-0.7805989384651184,-0.6149553656578064,-0.4764404296875,-0.3544921875
 Правовой основой для эскалации участия Соединенных Штатов во Вьетнамской войне стало следующее:, разнообразный," ['объявление войны Конгрессом' 'принятие Конгрессом резолюции по Тонкинскому заливу' 'резолюция Организации Объединенных Наций, осуждающая вторжение Северного Вьетнама в Южный Вьетнам' 'положения о взаимной обороне Организации Североатлантического договора (НАТО)']",1,Sheet1,-2.233349561691284,-0.017866796493530273,-8.03125,-7.0625,-6.308035850524902,-5.1875,-4.369591236114502,-3.848372459411621,-3.2234699726104736,-2.903057813644409,-2.5250747203826904,-2.233720064163208,-1.140625,-0.94140625,-0.6901680827140808,-0.4751342833042145,-0.34898024797439575,-0.2880615293979645,-0.2147148996591568,-0.167266845703125,-0.09840459376573563,0.022174540907144547
"15-летний подросток, выглядящий старше своих лет, купил автомобиль у частного продавца. Подросток внес первоначальный взнос в размере 2000 долларов и согласился выплатить оставшиеся 4000 долларов в рассрочку в течение следующих двух лет. Автомобиль был необходим ему для работы, так как у него не было других средств к существованию. Позже подросток попал в аварию на этом автомобиле. Он отказался от договора, вернул поврежденный автомобиль и потребовал вернуть свой первоначальный взнос. Имеет ли продавец право на получение какой-либо компенсации в этом деле?", профессиональное_право," «Нет, продавец обязан вернуть задаток, поскольку несовершеннолетний заявил о своем несогласии с договором». «Продавец не может оставить задаток себе и не может получить никакой другой выгоды от сделки». «Продавец может подать в суд на несовершеннолетнего за введение в заблуждение и мошенничество, выразившееся в сокрытии его возраста до покупки автомобиля». «В рамках иска о возмещении ущерба продавец может получить только разумную стоимость использования автомобиля».",3,Sheet1,-1.9019775390625,-0.004125764726816703,-7.997596263885498,-6.1209492683410645,-5.096798896789551,-4.307102203369141,-3.66304349899292,-3.162585735321045,-2.7259113788604736,-2.384312868118286,-2.1158061027526855,-1.9011590480804443,-2.330528736114502,-1.4206452369689941,-0.9653547406196594,-0.7103729248046875,-0.5466231107711792,-0.4297018349170685,-0.32618412375450134,-0.23404832184314728,-0.15118764340877533,-0.06400874257087708
" Когда кислород становится недоступным, этот процесс восстанавливает НАД+, позволяя дыханию продолжаться.", биология для старшей школы, ['Гликолиз' 'Хемиосмос' 'Барменование' 'Цикл Кальвина'],2,Sheet1,-2.93267560005188,-0.021098385611884027,-9.15625,-7.765625,-6.765625,-5.953125,-5.264062404632568,-4.610025882720947,-4.065011024475098,-3.62939453125,-3.2555339336395264,-2.9322752952575684,-1.359375,-1.0244140625,-0.8274739384651184,-0.625030517578125,-0.4492431581020355,-0.3174031674861908,-0.2095598429441452,-0.0984039306640625,0.00432671420276165,0.09002685546875
