question,choice_A,choice_B,choice_C,choice_D,answer,category,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
Which of the following is not an application layer protocol?, resource reservation protocol, None of the other choices, media gateway protocol, session initiation protocol,A,,val,-2.154212474822998,-0.03474536249714513,-10.0,-6.90625,-5.3125,-4.4609375,-3.903125047683716,-3.4934895038604736,-3.0502231121063232,-2.6912841796875,-2.3956706523895264,-2.15765380859375,-7.4375,-3.67431640625,-2.4108073711395264,-1.771728515625,-1.388281226158142,-1.1326497793197632,-0.9147600531578064,-0.7286376953125,-0.5456814169883728,-0.3426757752895355
What are examples of current limiting reactors?, any of the above., oil immersed magnetically shielded, oil immersed non-magnetically shielded," air cooled, air cored",A,,val,-4.686306953430176,-0.08520558097145774,-8.6875,-8.6875,-8.53125,-8.53125,-8.25,-7.5390625,-7.5390625,-6.362500190734863,-5.47265625,-4.691959857940674,-3.390625,-3.390625,-2.33203125,-2.33203125,-1.693359375,-1.35009765625,-1.35009765625,-1.061621069908142,-0.8026530146598816,-0.5886579155921936
What is the homomorphism of a regular set?, Non regular set, None of the other choices, Regular set, Null set,B,,val,-3.321420192718506,-0.06919625401496887,-9.625,-7.890625,-7.302083492279053,-6.23046875,-5.581250190734863,-5.078125,-4.5848212242126465,-4.12548828125,-3.6861979961395264,-3.3206543922424316,-1.59375,-1.234375,-0.9270833134651184,-0.7509765625,-0.5746093988418579,-0.4539388120174408,-0.3371930718421936,-0.2120361328125,-0.1081814244389534,-0.02392578125
Which of the following hormones is not produced by the human placenta?, Human chorionic gonadotropin, Estrogen, Prolactin, Progesterone,C,,val,-1.8162362575531006,-0.025580792359902824,-7.4375,-5.890625,-4.927083492279053,-4.03125,-3.6770832538604736,-3.2628347873687744,-2.610460042953491,-2.35693359375,-2.145463466644287,-1.8165847063064575,-1.1328125,-0.736328125,-0.5044758915901184,-0.271728515625,-0.2021891325712204,-0.1391252726316452,-0.0339898020029068,0.01491699181497097,0.060080789029598236,0.2287221997976303
Why is shrinkage allowance provided on the pattern in any casting process?, The temperature of metal drops from its pouring temperature to room temperature, The temperature of solid phase drops from its freezing temperature to room temperature, The temperature of the liquid metal drops from the pouring to its freezing temperature, The metal changes from the liquid to the solid state at its freezing temperature,B,,val,-3.591745615005493,-0.04988535576396518,-11.5,-10.09375,-8.947916984558105,-7.259375095367432,-6.513020992279053,-5.877232074737549,-4.92274284362793,-4.550000190734863,-4.217329502105713,-3.591871976852417,-2.0625,-1.953125,-1.9010416269302368,-1.657812476158142,-1.3258463144302368,-1.0867745876312256,-0.732421875,-0.5990234613418579,-0.4650213122367859,-0.22881610691547394
Which of these structures is located on the dorsal side of a male cockroach?, Anus, Male genital pore, Gonapophysis, Foreleg,A,,val,-2.3778817653656006,-0.03446205457051595,-6.3125,-5.614583492279053,-5.1875,-4.572916507720947,-4.252232074737549,-3.703125,-3.4390625953674316,-2.9496257305145264,-2.731783390045166,-2.3755125999450684,-2.90625,-1.3014322519302368,-1.048828125,-0.701171875,-0.5837751030921936,-0.3859049379825592,-0.313720703125,-0.1802164763212204,-0.10265174508094788,0.08655598759651184
Which of the following models is commonly utilized in the macroscopic approach?, Mesoscopic Simulation Models, Macroscopic Simulation Models, Travel Demand Models, Greenshields model,D,,val,-2.9237864017486572,-0.038470873707219175,-9.4375,-8.53125,-7.416666507720947,-5.8125,-5.161458492279053,-4.684151649475098,-3.964409828186035,-3.6937499046325684,-3.4495737552642822,-2.922429084777832,-2.28125,-1.9296875,-1.7552083730697632,-1.362890601158142,-1.1538900136947632,-0.9724469780921936,-0.6668294072151184,-0.534130871295929,-0.4014115631580353,-0.11790113896131516
"In a zone-based firewall setup, how is traffic managed between interfaces that belong to the same zone?", Traffic between interfaces in the same zone is always blocked., None of the other choices, Traffic between two interfaces in the same zone is allowed by default., Traffic between interfaces in the same zone is blocked unless you apply a service policy to the zone pair.,C,,val,-2.6244640350341797,-0.029160711500379775,-10.8125,-7.927083492279053,-6.434374809265137,-5.421875,-4.6640625,-4.1477274894714355,-3.695913553237915,-3.274218797683716,-2.9345128536224365,-2.6264326572418213,-1.609375,-1.1927083730697632,-0.887402355670929,-0.6426566243171692,-0.4841105043888092,-0.34806129336357117,-0.22870811820030212,-0.11956787109375,-0.032201431691646576,0.054247405380010605
What was the primary point of contention between the Congress and the Muslim League regarding the Cabinet Mission Plan?," The Congress felt that the grouping of the provinces was optional, while the League was of the view that it was compulsory.", The provinces be given the right to modify the union constitution., The interim government be not formed till it was acceptable to the League, The League felt that the basis of Pakistan was implied in the grouping of provinces.,A,,val,-2.059330463409424,-0.020389410528806176,-10.3125,-7.864583492279053,-6.03125,-4.925223350524902,-4.091145992279053,-3.4485085010528564,-2.963792085647583,-2.589322805404663,-2.2935431003570557,-2.0573344230651855,-3.0625,-1.0738729238510132,-0.5788940191268921,-0.3498796820640564,-0.2138604074716568,-0.10395396500825882,-0.01599590666592121,0.06426188349723816,0.14080092310905457,0.24686793982982635
"Adler, in contrast to Jung, believed that psychological health was connected to ______.", the abilities to love and work, None of the other choices, compensation for feelings of inferiority, differentiation of the self,C,,val,-2.818267583847046,-0.034369116876183485,-6.40625,-5.760416507720947,-5.5390625,-5.028645992279053,-4.62109375,-4.385416507720947,-3.885653495788574,-3.673828125,-3.199916362762451,-2.817596435546875,-1.34375,-0.95703125,-0.8095703125,-0.56878662109375,-0.3920440673828125,-0.3159315288066864,-0.19137296080589294,-0.1438496857881546,-0.0415475033223629,0.07839202880859375
What is taxonomy based on chromosomal number and characteristics called?, Cytotaxonomy, Chemotaxonomy, Serotaxonomy, Molecular taxonomy,A,,val,-4.142455577850342,-0.058344444758455516,-13.125,-12.90625,-10.708333015441895,-9.2578125,-7.990624904632568,-7.125,-6.3660712242126465,-5.68408203125,-5.058431148529053,-4.147039413452148,-6.78125,-5.328125,-4.802083492279053,-3.68701171875,-3.0062499046325684,-2.4917805194854736,-2.111537456512451,-1.82135009765625,-1.5947808027267456,-1.1673916578292847
A compact object with __________ could indicate the presence of a black hole in a binary system.," a hot, x-ray emitting accretion disk.", zero mass and no emitted light., repeated nova bursts., None of the other choices,A,,val,-2.753464937210083,-0.032779344490596225,-14.25,-9.895833015441895,-8.09375,-6.449776649475098,-5.204427242279053,-4.758593559265137,-4.03955078125,-3.517299175262451,-3.09783935546875,-2.7536349296569824,-6.4375,-3.1067707538604736,-2.208203077316284,-1.5657784938812256,-1.1689453125,-1.016699194908142,-0.7691243290901184,-0.5839146375656128,-0.43328857421875,-0.2948676347732544
