question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
6807,"Which of the following statements concerning transamination is correct?
",Transaminases require a coenzyme derived from vitamin C.,Transamination is an irreversible reaction in amino acid catabolism.,Only non-essential (dispensable) amino acids undergo transamination.,Transaminases require a coenzyme derived from vitamin B12.,Transamination is a process by which proteins are synthesized.,Transamination is involved in the creation of essential amino acids only.,Transaminases require a coenzyme derived from vitamin D.,Transaminases require a coenzyme derived from vitamin B6.,Transamination does not involve enzymes.,Transamination only occurs in the liver.,H,7,health,ori_mmlu-nutrition,,test,-2.1134655475616455,-0.030629935471907906,-6.875,-5.921875,-5.213541507720947,-4.3984375,-3.9000000953674316,-3.5052082538604736,-3.220982074737549,-2.89306640625,-2.575873374938965,-2.111738681793213,-2.15625,-1.318359375,-0.9469401240348816,-0.69744873046875,-0.534716784954071,-0.4213460385799408,-0.3336704671382904,-0.223602294921875,-0.122802734375,0.10193980485200882
629, The train operator understands customer desire for a comfortable seat but fails to specify how many should be provided relative to the anticipated number of travellers on each route. This is an example of:,GAP 5-the gap between perceived service and expected service.,GAP1-the gap between the customer's expectations and management perception.,GAP 10-the gap between management perception and customer satisfaction.,GAP 7-the gap between customer expectations and perceived service.,GAP 8-the gap between service delivery and customer satisfaction.,GAP 4-the gap between service delivery and external communications.,GAP 6-the gap between service design and service standards.,GAP 9-the gap between customer perception and service expectation.,GAP 2-the gap between management perception and service-quality specification.,GAP 3-the gap between service-quality specifications and service delivery.,I,8,business,ori_mmlu-marketing,,test,-3.351870536804199,-0.022495775414793282,-9.041666984558105,-7.9375,-7.375,-6.453125,-5.850183963775635,-5.1651787757873535,-4.713541507720947,-4.16552734375,-3.782068967819214,-3.350939989089966,-2.5885417461395264,-1.9095982313156128,-1.6066405773162842,-1.2276087999343872,-1.004014015197754,-0.790591299533844,-0.6411488652229309,-0.4720589816570282,-0.35971757769584656,-0.20822754502296448
8567,A store has 3 boxes of shirts. Each box has 4 packages with 7 shirts in each package. The expression 3 × (4 × 7) can be used to find the total number of shirts. Which expression can also be used to find the total number of shirts?,14 × 3,21 × 4,12 × 7,7 × 12,14 × 4,4 × 21,12 × 3,28 × 4,28 × 7,21 × 3,C,2,math,ori_mmlu-elementary_mathematics,,test,-1.2860697507858276,-0.008993494760740054,-6.775000095367432,-4.764204502105713,-3.728400707244873,-3.0422894954681396,-2.5138065814971924,-2.1699936389923096,-1.8550293445587158,-1.6172459125518799,-1.4325766563415527,-1.284513235092163,-2.981250047683716,-1.5703125,-1.0145479440689087,-0.7268809676170349,-0.5468581914901733,-0.43757179379463196,-0.33192139863967896,-0.24366295337677002,-0.16176193952560425,-0.08427903056144714
9510,A solid has a volume of 2.5 liters when the external pressure is 1 atm. The bulk modulus of the material is 2 × 10^12 dynes/cm^2. What is the change in volume when the body is subjected to a pressure of 16atm? What additional energy per unit volume is now stored in the material?,"19 x 10^-3 cm³, 68 ergs/cm³","25 x 10^-3 cm³, 80 ergs/cm³","30 x 10^-3 cm³, 85 ergs/cm³","18.99 x 10^-3 cm3, 65.4 ergs/cm^3","20 x 10^-3 cm3, 70 ergs/cm^3","12 x 10^-3 cm³, 50 ergs/cm³","22 x 10^-3 cm3, 75 ergs/cm^3","14 x 10^-3 cm³, 58 ergs/cm³","17 x 10^-3 cm³, 55 ergs/cm³","15 x 10^-3 cm3, 60 ergs/cm^3",D,3,physics,stemez-Physics,,test,-1.6946077346801758,-0.00887229180460825,-7.3348212242126465,-5.8302083015441895,-4.829545497894287,-3.906510353088379,-3.289379119873047,-2.7670137882232666,-2.422626256942749,-2.112963914871216,-1.8964205980300903,-1.6945499181747437,-4.8125,-3.028515577316284,-2.1007802486419678,-1.52203369140625,-1.2032800912857056,-0.9459825158119202,-0.7727778553962708,-0.6139791011810303,-0.49371612071990967,-0.3622509837150574
12214,"Consider a lap-wound armature 4 feet in diameter, having 12 poles. The winding consists of 240 coils of 4 turns each and the length of the pole face is 10 inches. Sixty percent of the conductors lie under the pole face where the flux density is 60,000 lines per square inch, and 15 percent lie in the pole fringe where the average density is 35,000 lines per square inch. What horsepower is the motor developing if the current flowing into the armature is 480 amperes and the machine is rotating at 200r.p.m. ?",175,180,240,250,220,200,230,196.5,205.7,213.4,J,9,engineering,stemez-ElectricalMachines,,test,-1.732527494430542,-0.005994904825019177,-7.6875,-5.681713104248047,-4.573933124542236,-3.8235795497894287,-3.2578125,-2.8391053676605225,-2.466400146484375,-2.1682660579681396,-1.9281891584396362,-1.7328013181686401,-3.475360631942749,-2.25390625,-1.5738472938537598,-1.1607760190963745,-0.8897603154182434,-0.7052675485610962,-0.552387535572052,-0.42693454027175903,-0.315507709980011,-0.19996820390224457
6550,"A 49-year-old man, who is recovering in the hospital 2 days after uncomplicated left femoral-popliteal bypass grafting for claudication, has now developed increasing pain in his left foot. Until now, the patient's postoperative course had been unremarkable and he has been treated with low-dose morphine for pain control. Medical history is remarkable for type 2 diabetes mellitus controlled with metformin and diet. Vital signs now are temperature 36.8°C (98.2°F), pulse 80/min and regular, respirations 20/min, and blood pressure 150/92 mm Hg. The surgical incision appears clean and well approximated without abnormal erythema or swelling. The left lower extremity and foot appear pale. Palpation of the left lower extremity discloses a strong femoral pulse, a weak popliteal pulse, and a cool, pulseless foot. Which of the following is the most appropriate management?",Intraoperative angiography,Intravenous heparin therapy,Immediate surgical exploration,Initiate antibiotic therapy,Computed Tomography (CT) of the lower extremity,Intra-arterial tissue plasminogen activator (tPA) therapy,Doppler ultrasonography of the left lower extremity,Magnetic Resonance Imaging (MRI) of the left lower extremity,Bedside compartment pressure measurements,Pain management and observation,C,2,health,ori_mmlu-professional_medicine,,test,-1.6392555236816406,-0.0032205413038932035,-6.6484375,-5.20998477935791,-4.254914283752441,-3.5705947875976562,-3.0703125,-2.6808688640594482,-2.3355939388275146,-2.0515828132629395,-1.8229683637619019,-1.639030933380127,-2.3746094703674316,-1.509289264678955,-1.0366920232772827,-0.7600862383842468,-0.578690767288208,-0.44299906492233276,-0.32605233788490295,-0.22783467173576355,-0.13971763849258423,-0.04204031080007553
3409,Explain the mechanism of the genetic determination of sex in humans.,The presence of two X chromosomes in the absence of a Y chromosome has no impact on the sex of an individual.,The number of autosomes determines the sex of an individual.,"The sex of an individual is determined by the number of X chromosomes, irrespective of the Y chromosome.",The combination of two Y chromosomes determines that an individual will be female.,The presence of an X chromosome and an additional chromosome other than Y determines that an individual will be male.,Environmental factors determine the genetic sex of an individual.,The presence of the X chromosome determines that an individual will be male.,The presence of the Y chromosome determines that an individual will be male.,The process of meiosis determines the sex of an individual.,The total number of chromosomes in an individual dictates their sex.,H,7,biology,stemez-Genetics,,test,-2.1587345600128174,-0.031286008116127785,-8.25,-7.53125,-6.208333492279053,-5.150390625,-3.8177082538604736,-3.4252231121063232,-3.10595703125,-2.840277671813965,-2.57470703125,-2.1593017578125,-1.109375,-0.7998046875,-0.5142415165901184,-0.32952880859375,-0.1293538361787796,-0.0586983822286129,0.001617431640625,0.0563422292470932,0.12961426377296448,0.25775146484375
801,"Assume that the following charges (flat rates) are made on $500 for a year and that the loan in each case is to be repaid in 12 equal monthly installments: (a) 3% , (b) 5%. What is the monthly payment and the true annual interest rate that the borrower is paying in each case? (Record interest rate correct to the nearest tenth of 1%.)",Monthly payments: $43.92 at 3% and $42.75 at 5%; True annual interest rates: 5.2% at 3% and 9.5% at 5%,Monthly payments: $42.92 at 3% and $43.75 at 5%; True annual interest rates: 5.5% at 3% and 9.2% at 5%,Monthly payments: $41.67 at 3% and $44.17 at 5%; True annual interest rates: 6.8% at 3% and 10.9% at 5%,Monthly payments: $42.50 at 3% and $43.33 at 5%; True annual interest rates: 4.8% at 3% and 8.7% at 5%,Monthly payments: $41.92 at 3% and $44.75 at 5%; True annual interest rates: 6.5% at 3% and 10.2% at 5%,Monthly payments: $41.25 at 3% and $45.42 at 5%; True annual interest rates: 3.8% at 3% and 7.9% at 5%,Monthly payments: $45.00 at 3% and $40.00 at 5%; True annual interest rates: 7.5% at 3% and 12.0% at 5%,Monthly payments: $43.75 at 3% and $42.92 at 5%; True annual interest rates: 5.0% at 3% and 8.5% at 5%,Monthly payments: $44.17 at 3% and $41.67 at 5%; True annual interest rates: 6.2% at 3% and 11.1% at 5%,Monthly payments: $42.92 at 3% and $43.75 at 5%; True annual interest rates: 4.5% at 3% and 8.2% at 5%,B,1,business,stemez-Business,,test,-2.0597851276397705,-0.009715967583206465,-8.30859375,-6.261948585510254,-5.14723539352417,-4.435202121734619,-3.798964500427246,-3.285531759262085,-2.9210286140441895,-2.584946870803833,-2.296377420425415,-2.0596210956573486,-2.66796875,-1.7079503536224365,-1.16705322265625,-0.878410816192627,-0.6554153561592102,-0.4766610860824585,-0.3506062924861908,-0.23235464096069336,-0.12957294285297394,-0.02439441904425621
8599,"The numbers $x$ and $y$ are inversely proportional. When the sum of $x$ and $y$ is 42, $x$ is twice $y$. What is the value of $y$ when $x=-8$?",-28,-56,-40,-7,40,-49,49,-14,56,14,F,5,math,ori_mmlu-high_school_mathematics,,test,-1.294027328491211,-0.01135111691658957,-6.543749809265137,-4.889062404632568,-3.898958444595337,-3.182812452316284,-2.535832405090332,-2.1510837078094482,-1.8607177734375,-1.6381062269210815,-1.4619027376174927,-1.2935210466384888,-4.203125,-2.48046875,-1.6657878160476685,-1.2281982898712158,-0.912916898727417,-0.7363753914833069,-0.6022813320159912,-0.49081793427467346,-0.39322564005851746,-0.2877572774887085
724,A desk valued at $125 can be purchased on the installment plan with a down payment of $16.25 and 16 monthly payments of $7.50. Calculate the interest rate involved.,16.3%,17.8%,19.9%,14.6%,11.7%,13.5%,15.2%,20.6%,18.5%,12.4%,D,3,business,stemez-Business,,test,-1.800747036933899,-0.014291643150269038,-8.484375,-6.091796875,-4.635817527770996,-3.8993566036224365,-3.2855112552642822,-2.915264368057251,-2.6016926765441895,-2.25439453125,-2.0272998809814453,-1.799729824066162,-2.150390625,-1.572265625,-1.060396671295166,-0.7851203680038452,-0.5670887231826782,-0.4408193826675415,-0.3343872129917145,-0.21502162516117096,-0.12726299464702606,-0.023223876953125
