method,auroc,interpretation
loss,0.3445,no signal
zlib,0.2084,no signal
mink_0.1,0.4241,no signal
mink_0.2,0.3722,no signal
mink_0.3,0.3693,no signal
mink_0.4,0.3557,no signal
mink_0.5,0.365,no signal
mink_0.6,0.3575,no signal
mink_0.7,0.3434,no signal
mink_0.8,0.3421,no signal
mink_0.9,0.3365,no signal
mink_1.0,0.3443,no signal
minkpp_0.1,0.7108,moderate — possible contamination
minkpp_0.2,0.6701,moderate — possible contamination
minkpp_0.3,0.6518,moderate — possible contamination
minkpp_0.4,0.6411,weak signal
minkpp_0.5,0.649,weak signal
minkpp_0.6,0.6542,moderate — possible contamination
minkpp_0.7,0.6465,weak signal
minkpp_0.8,0.6628,moderate — possible contamination
minkpp_0.9,0.6633,moderate — possible contamination
minkpp_1.0,0.6824,moderate — possible contamination
